name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,60,41,250,7,7,515810.0,515810.0,0.0,535810.0,520000.0,20000.0,500000.0,15660.0,660.0,15000.0,150.0,5,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,0,46,294,7,7,528090.0,528090.0,0.0,552090.0,524000.0,24000.0,500000.0,27970.0,1470.0,26500.0,120.0,6,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,10,46,301,7,7,526165.0,526165.0,0.0,550165.0,524000.0,24000.0,500000.0,26165.0,1165.0,25000.0,0.0,6,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,20,46,304,7,7,525105.0,525105.0,0.0,549105.0,524000.0,24000.0,500000.0,25105.0,1105.0,24000.0,0.0,6,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,30,46,308,7,7,520200.0,520200.0,0.0,544200.0,524000.0,24000.0,500000.0,20200.0,900.0,19300.0,0.0,6,5,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,40,46,312,7,7,419695.0,419695.0,0.0,443695.0,424000.0,24000.0,400000.0,19695.0,795.0,18900.0,0.0,6,4,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,50,46,314,7,7,418855.0,418855.0,0.0,442855.0,424000.0,24000.0,400000.0,18855.0,755.0,18100.0,0.0,6,4,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.0,60,46,319,7,7,513705.0,513705.0,0.0,537705.0,524000.0,24000.0,500000.0,13705.0,605.0,13100.0,0.0,6,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,0,46,296,8,8,727640.0,727640.0,0.0,755640.0,728000.0,28000.0,700000.0,27430.0,1330.0,26100.0,210.0,7,7,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,10,46,301,8,8,726815.0,726815.0,0.0,750815.0,724000.0,24000.0,700000.0,26545.0,1445.0,25100.0,270.0,6,7,0.006,
