sep=,
name,minPlanTime(min),maxPlanTime(min),shortConTimeDriver(min),shortConTimeVehicle(min),maxDrivingTime(min),maxWorkingTime(min),nbCities,nbTrips,nbTripStartFromDepot,nbNodes,nbArcs,maxPercentCombine,timeWindowRange(min),maxNbDriverAvailable,initialNbColumns,nbColumnsGeneratedByIterations,nbColumnsGeneratedByPostProcess,finalNbColumnsInModel,nbIteration,initialMasterObjectiveValue,finalMasterObjectiveValue,finalLowerBoundMP,finalIntegerObjectiveValue,gap(%),elapsedTime(sec),timeOfSolvingSubPByLabelingAlgorithm(milli sec),timeOfSolRMPByCplex(milli sec),timeOfSolveFinalIntegerProblemByCplex(sec),timePostProcessForRichSchedules(sec),timeForCreatingModelInCG(sec),nbLabelsInTotal,nbLabelsFinalIteration,nbLabelsPerIteration
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,314,0.0,50,7,216,1016,8760,9992,12,29220.0,24750.0,24750.0,24755.0,0.020197939810139367,3.0,1123.0,272.0,0.0,2.0,0.161,3064288,443998,255357,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,319,0.0,60,7,216,1345,10166,11727,15,29220.0,24605.0,24605.0,24605.0,0.0,7.0,3493.0,468.0,0.0,2.0,0.288,7131824,864928,475454,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,296,0.25,0,8,291,602,0,893,10,33520.0,29450.0,29450.0,29450.0,0.0,0.0,63.0,56.0,0.0,0.0,0.024,301406,50970,30140,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,301,0.25,10,8,291,965,4343,5599,12,33520.0,25595.0,25595.0,25595.0,0.0,0.0,191.0,133.0,0.0,0.0,0.066,800442,114850,66703,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,306,0.25,20,8,291,1145,6325,7761,11,33520.0,25495.0,25495.0,25495.0,0.0,1.0,285.0,187.0,0.0,0.0,0.104,973010,151948,88455,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,313,0.25,30,8,291,1559,7273,9123,22,33520.0,25070.0,25070.0,25320.0,0.9873617693522907,3.0,804.0,569.0,1.0,1.0,0.348,5065390,419142,230245,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,316,0.25,40,8,291,1367,10372,12030,16,33520.0,25005.0,25005.0,25120.0,0.4578025477707006,4.0,993.0,452.0,1.0,2.0,0.257,3844360,423150,240272,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,318,0.25,50,8,291,1305,11294,12890,10,33520.0,24955.0,24955.0,25125.0,0.6766169154228856,7.0,1127.0,240.0,3.0,2.0,0.145,2330790,395952,233079,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,24,46,325,0.25,60,8,291,2238,22148,24677,18,33520.0,20875.0,20874.999999999993,24795.0,15.809639040129086,20.0,4592.0,958.0,7.0,7.0,0.626,10961194,1113598,608955,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,45,29,51,368,0.0,0,8,249,1078,0,1327,14,33305.0,29425.0,29425.0,29425.0,0.0,0.0,204.0,134.0,0.0,0.0,0.058,929456,119746,66389,
